s,C,C,C,C
Time,"Tz0mm","Tz100mm","Tz50mm","Tz75mm"
 1.3400000E+003, 6.2556225E+001, 2.5000242E+001, 2.5595636E+001, 2.5015858E+001
 1.3500000E+003, 6.2600445E+001, 2.5000263E+001, 2.5610964E+001, 2.5016664E+001
 1.3600000E+003, 6.2644245E+001, 2.5000285E+001, 2.5626471E+001, 2.5017499E+001
 1.3700000E+003, 6.2687632E+001, 2.5000309E+001, 2.5642153E+001, 2.5018363E+001
 1.3800000E+003, 6.2730612E+001, 2.5000335E+001, 2.5658011E+001, 2.5019257E+001
 1.3900000E+003, 6.2773192E+001, 2.5000362E+001, 2.5674042E+001, 2.5020181E+001
 1.4000000E+003, 6.2815377E+001, 2.5000391E+001, 2.5690244E+001, 2.5021136E+001
 1.4100000E+003, 6.2857175E+001, 2.5000422E+001, 2.5706616E+001, 2.5022123E+001
 1.4200000E+003, 6.2898590E+001, 2.5000455E+001, 2.5723157E+001, 2.5023142E+001
 1.4300000E+003, 6.2939630E+001, 2.5000490E+001, 2.5739863E+001, 2.5024193E+001
 1.4400000E+003, 6.2980299E+001, 2.5000527E+001, 2.5756734E+001, 2.5025278E+001
 1.4500000E+003, 6.3020603E+001, 2.5000567E+001, 2.5773768E+001, 2.5026396E+001
 1.4600000E+003, 6.3060549E+001, 2.5000609E+001, 2.5790962E+001, 2.5027548E+001
 1.4700000E+003, 6.3100140E+001, 2.5000653E+001, 2.5808316E+001, 2.5028734E+001
 1.4800000E+003, 6.3139382E+001, 2.5000700E+001, 2.5825828E+001, 2.5029955E+001
 1.4900000E+003, 6.3178282E+001, 2.5000750E+001, 2.5843495E+001, 2.5031212E+001
 1.5000000E+003, 6.3216842E+001, 2.5000802E+001, 2.5861317E+001, 2.5032505E+001
 1.5100000E+003, 6.3255070E+001, 2.5000858E+001, 2.5879290E+001, 2.5033834E+001
 1.5200000E+003, 6.3292968E+001, 2.5000916E+001, 2.5897415E+001, 2.5035200E+001
 1.5300000E+003, 6.3330543E+001, 2.5000978E+001, 2.5915687E+001, 2.5036603E+001
 1.5400000E+003, 6.3367798E+001, 2.5001043E+001, 2.5934107E+001, 2.5038044E+001
 1.5500000E+003, 6.3404739E+001, 2.5001112E+001, 2.5952672E+001, 2.5039523E+001
 1.5600000E+003, 6.3441369E+001, 2.5001184E+001, 2.5971381E+001, 2.5041040E+001
 1.5700000E+003, 6.3477693E+001, 2.5001260E+001, 2.5990231E+001, 2.5042596E+001
 1.5800000E+003, 6.3513716E+001, 2.5001339E+001, 2.6009221E+001, 2.5044192E+001
 1.5900000E+003, 6.3549441E+001, 2.5001423E+001, 2.6028350E+001, 2.5045828E+001
 1.6000000E+003, 6.3584873E+001, 2.5001510E+001, 2.6047615E+001, 2.5047503E+001
 1.6100000E+003, 6.3620016E+001, 2.5001602E+001, 2.6067014E+001, 2.5049220E+001
 1.6200000E+003, 6.3654873E+001, 2.5001699E+001, 2.6086547E+001, 2.5050977E+001
 1.6300000E+003, 6.3689449E+001, 2.5001800E+001, 2.6106211E+001, 2.5052775E+001
 1.6400000E+003, 6.3723748E+001, 2.5001906E+001, 2.6126005E+001, 2.5054616E+001
 1.6500000E+003, 6.3757772E+001, 2.5002016E+001, 2.6145926E+001, 2.5056498E+001
 1.6600000E+003, 6.3791526E+001, 2.5002132E+001, 2.6165974E+001, 2.5058422E+001
 1.6700000E+003, 6.3825014E+001, 2.5002253E+001, 2.6186146E+001, 2.5060390E+001
 1.6800000E+003, 6.3858238E+001, 2.5002379E+001, 2.6206441E+001, 2.5062400E+001
 1.6900000E+003, 6.3891203E+001, 2.5002511E+001, 2.6226857E+001, 2.5064454E+001
 1.7000000E+003, 6.3923911E+001, 2.5002648E+001, 2.6247393E+001, 2.5066551E+001
 1.7100000E+003, 6.3956367E+001, 2.5002791E+001, 2.6268046E+001, 2.5068693E+001
 1.7200000E+003, 6.3988573E+001, 2.5002940E+001, 2.6288816E+001, 2.5070879E+001
 1.7300000E+003, 6.4020532E+001, 2.5003096E+001, 2.6309700E+001, 2.5073109E+001
 1.7400000E+003, 6.4052248E+001, 2.5003258E+001, 2.6330697E+001, 2.5075384E+001
 1.7500000E+003, 6.4083724E+001, 2.5003426E+001, 2.6351805E+001, 2.5077705E+001
 1.7600000E+003, 6.4114963E+001, 2.5003601E+001, 2.6373024E+001, 2.5080071E+001
 1.7700000E+003, 6.4145968E+001, 2.5003784E+001, 2.6394350E+001, 2.5082482E+001
 1.7800000E+003, 6.4176741E+001, 2.5003973E+001, 2.6415783E+001, 2.5084940E+001
 1.7900000E+003, 6.4207287E+001, 2.5004169E+001, 2.6437320E+001, 2.5087444E+001
 1.8000000E+003, 6.4237606E+001, 2.5004373E+001, 2.6458962E+001, 2.5089994E+001
 1.8100000E+003, 6.4267703E+001, 2.5004585E+001, 2.6480705E+001, 2.5092591E+001
 1.8200000E+003, 6.4297580E+001, 2.5004805E+001, 2.6502548E+001, 2.5095235E+001
 1.8300000E+003, 6.4327240E+001, 2.5005032E+001, 2.6524490E+001, 2.5097926E+001
 1.8400000E+003, 6.4356685E+001, 2.5005268E+001, 2.6546530E+001, 2.5100665E+001
 1.8500000E+003, 6.4385918E+001, 2.5005512E+001, 2.6568665E+001, 2.5103451E+001
 1.8600000E+003, 6.4414942E+001, 2.5005765E+001, 2.6590894E+001, 2.5106285E+001
 1.8700000E+003, 6.4443758E+001, 2.5006027E+001, 2.6613217E+001, 2.5109167E+001
 1.8800000E+003, 6.4472370E+001, 2.5006298E+001, 2.6635631E+001, 2.5112097E+001
 1.8900000E+003, 6.4500780E+001, 2.5006578E+001, 2.6658134E+001, 2.5115075E+001
 1.9000000E+003, 6.4528991E+001, 2.5006867E+001, 2.6680727E+001, 2.5118102E+001
 1.9100000E+003, 6.4557004E+001, 2.5007167E+001, 2.6703406E+001, 2.5121178E+001
 1.9200000E+003, 6.4584821E+001, 2.5007476E+001, 2.6726171E+001, 2.5124302E+001
 1.9300000E+003, 6.4612447E+001, 2.5007795E+001, 2.6749020E+001, 2.5127476E+001
 1.9400000E+003, 6.4639881E+001, 2.5008124E+001, 2.6771952E+001, 2.5130698E+001
 1.9500000E+003, 6.4667127E+001, 2.5008464E+001, 2.6794966E+001, 2.5133970E+001
 1.9600000E+003, 6.4694188E+001, 2.5008815E+001, 2.6818060E+001, 2.5137291E+001
 1.9700000E+003, 6.4721064E+001, 2.5009176E+001, 2.6841232E+001, 2.5140662E+001
 1.9800000E+003, 6.4747758E+001, 2.5009549E+001, 2.6864482E+001, 2.5144082E+001
 1.9900000E+003, 6.4774272E+001, 2.5009933E+001, 2.6887808E+001, 2.5147552E+001
 2.0000000E+003, 6.4800608E+001, 2.5010329E+001, 2.6911209E+001, 2.5151072E+001
 2.0100000E+003, 6.4826768E+001, 2.5010736E+001, 2.6934684E+001, 2.5154642E+001
 2.0200000E+003, 6.4852755E+001, 2.5011156E+001, 2.6958230E+001, 2.5158263E+001
 2.0300000E+003, 6.4878569E+001, 2.5011587E+001, 2.6981848E+001, 2.5161933E+001
 2.0400000E+003, 6.4904214E+001, 2.5012031E+001, 2.7005535E+001, 2.5165653E+001
 2.0500000E+003, 6.4929690E+001, 2.5012488E+001, 2.7029291E+001, 2.5169424E+001
 2.0600000E+003, 6.4955000E+001, 2.5012958E+001, 2.7053114E+001, 2.5173245E+001
 2.0700000E+003, 6.4980145E+001, 2.5013440E+001, 2.7077003E+001, 2.5177117E+001
 2.0800000E+003, 6.5005128E+001, 2.5013936E+001, 2.7100957E+001, 2.5181039E+001
 2.0900000E+003, 6.5029949E+001, 2.5014446E+001, 2.7124975E+001, 2.5185012E+001
 2.1000000E+003, 6.5054611E+001, 2.5014969E+001, 2.7149055E+001, 2.5189035E+001
 2.1100000E+003, 6.5079116E+001, 2.5015506E+001, 2.7173196E+001, 2.5193109E+001
 2.1200000E+003, 6.5103465E+001, 2.5016057E+001, 2.7197397E+001, 2.5197233E+001
 2.1300000E+003, 6.5127659E+001, 2.5016623E+001, 2.7221657E+001, 2.5201409E+001
 2.1400000E+003, 6.5151701E+001, 2.5017204E+001, 2.7245975E+001, 2.5205635E+001
 2.1500000E+003, 6.5175592E+001, 2.5017799E+001, 2.7270350E+001, 2.5209912E+001
 2.1600000E+003, 6.5199334E+001, 2.5018409E+001, 2.7294780E+001, 2.5214239E+001
 2.1700000E+003, 6.5222927E+001, 2.5019035E+001, 2.7319264E+001, 2.5218618E+001
 2.1800000E+003, 6.5246375E+001, 2.5019676E+001, 2.7343802E+001, 2.5223047E+001
 2.1900000E+003, 6.5269677E+001, 2.5020333E+001, 2.7368393E+001, 2.5227527E+001
 2.2000000E+003, 6.5292837E+001, 2.5021006E+001, 2.7393034E+001, 2.5232058E+001
 2.2100000E+003, 6.5315854E+001, 2.5021695E+001, 2.7417726E+001, 2.5236640E+001
 2.2200000E+003, 6.5338731E+001, 2.5022400E+001, 2.7442467E+001, 2.5241272E+001
 2.2300000E+003, 6.5361469E+001, 2.5023122E+001, 2.7467256E+001, 2.5245956E+001
 2.2400000E+003, 6.5384070E+001, 2.5023861E+001, 2.7492092E+001, 2.5250690E+001
 2.2500000E+003, 6.5406534E+001, 2.5024617E+001, 2.7516975E+001, 2.5255475E+001
 2.2600000E+003, 6.5428864E+001, 2.5025390E+001, 2.7541902E+001, 2.5260310E+001
 2.2700000E+003, 6.5451060E+001, 2.5026181E+001, 2.7566873E+001, 2.5265196E+001
 2.2800000E+003, 6.5473124E+001, 2.5026990E+001, 2.7591888E+001, 2.5270133E+001
 2.2900000E+003, 6.5495057E+001, 2.5027816E+001, 2.7616945E+001, 2.5275121E+001
 2.3000000E+003, 6.5516861E+001, 2.5028660E+001, 2.7642043E+001, 2.5280159E+001
 2.3100000E+003, 6.5538536E+001, 2.5029523E+001, 2.7667181E+001, 2.5285247E+001
 2.3200000E+003, 6.5560085E+001, 2.5030405E+001, 2.7692359E+001, 2.5290387E+001
 2.3300000E+003, 6.5581508E+001, 2.5031305E+001, 2.7717575E+001, 2.5295576E+001
 2.3400000E+003, 6.5602806E+001, 2.5032224E+001, 2.7742829E+001, 2.5300816E+001
 2.3500000E+003, 6.5623981E+001, 2.5033163E+001, 2.7768119E+001, 2.5306106E+001
 2.3600000E+003, 6.5645034E+001, 2.5034121E+001, 2.7793446E+001, 2.5311446E+001
 2.3700000E+003, 6.5665966E+001, 2.5035098E+001, 2.7818807E+001, 2.5316837E+001
 2.3800000E+003, 6.5686779E+001, 2.5036096E+001, 2.7844202E+001, 2.5322277E+001
 2.3900000E+003, 6.5707472E+001, 2.5037113E+001, 2.7869630E+001, 2.5327768E+001
 2.4000000E+003, 6.5728048E+001, 2.5038151E+001, 2.7895091E+001, 2.5333309E+001
 2.4100000E+003, 6.5748508E+001, 2.5039209E+001, 2.7920583E+001, 2.5338899E+001
 2.4200000E+003, 6.5768853E+001, 2.5040288E+001, 2.7946106E+001, 2.5344539E+001
 2.4300000E+003, 6.5789083E+001, 2.5041388E+001, 2.7971659E+001, 2.5350229E+001
 2.4400000E+003, 6.5809200E+001, 2.5042509E+001, 2.7997240E+001, 2.5355969E+001
 2.4500000E+003, 6.5829205E+001, 2.5043651E+001, 2.8022850E+001, 2.5361758E+001
 2.4600000E+003, 6.5849099E+001, 2.5044814E+001, 2.8048488E+001, 2.5367596E+001
 2.4700000E+003, 6.5868883E+001, 2.5046000E+001, 2.8074152E+001, 2.5373484E+001
 2.4800000E+003, 6.5888558E+001, 2.5047207E+001, 2.8099842E+001, 2.5379421E+001
 2.4900000E+003, 6.5908125E+001, 2.5048437E+001, 2.8125558E+001, 2.5385407E+001
 2.5000000E+003, 6.5927585E+001, 2.5049688E+001, 2.8151297E+001, 2.5391442E+001
 2.5100000E+003, 6.5946939E+001, 2.5050963E+001, 2.8177061E+001, 2.5397526E+001
 2.5200000E+003, 6.5966188E+001, 2.5052259E+001, 2.8202847E+001, 2.5403659E+001
 2.5300000E+003, 6.5985333E+001, 2.5053579E+001, 2.8228656E+001, 2.5409840E+001
 2.5400000E+003, 6.6004374E+001, 2.5054922E+001, 2.8254486E+001, 2.5416071E+001
 2.5500000E+003, 6.6023314E+001, 2.5056288E+001, 2.8280337E+001, 2.5422349E+001
 2.5600000E+003, 6.6042152E+001, 2.5057678E+001, 2.8306208E+001, 2.5428676E+001
 2.5700000E+003, 6.6060889E+001, 2.5059091E+001, 2.8332099E+001, 2.5435051E+001
 2.5800000E+003, 6.6079527E+001, 2.5060528E+001, 2.8358008E+001, 2.5441474E+001
 2.5900000E+003, 6.6098067E+001, 2.5061989E+001, 2.8383936E+001, 2.5447945E+001
 2.6000000E+003, 6.6116508E+001, 2.5063475E+001, 2.8409881E+001, 2.5454464E+001
 2.6100000E+003, 6.6134853E+001, 2.5064984E+001, 2.8435843E+001, 2.5461031E+001
 2.6200000E+003, 6.6153102E+001, 2.5066518E+001, 2.8461821E+001, 2.5467645E+001
 2.6300000E+003, 6.6171255E+001, 2.5068077E+001, 2.8487814E+001, 2.5474306E+001
 2.6400000E+003, 6.6189314E+001, 2.5069661E+001, 2.8513823E+001, 2.5481015E+001
 2.6500000E+003, 6.6207280E+001, 2.5071270E+001, 2.8539845E+001, 2.5487771E+001
 2.6600000E+003, 6.6225152E+001, 2.5072905E+001, 2.8565881E+001, 2.5494575E+001
 2.6700000E+003, 6.6242933E+001, 2.5074564E+001, 2.8591931E+001, 2.5501425E+001
 2.6800000E+003, 6.6260622E+001, 2.5076250E+001, 2.8617993E+001, 2.5508321E+001
 2.6900000E+003, 6.6278221E+001, 2.5077961E+001, 2.8644066E+001, 2.5515265E+001
 2.7000000E+003, 6.6295731E+001, 2.5079698E+001, 2.8670151E+001, 2.5522255E+001
 2.7100000E+003, 6.6313151E+001, 2.5081461E+001, 2.8696247E+001, 2.5529291E+001
 2.7200000E+003, 6.6330484E+001, 2.5083251E+001, 2.8722353E+001, 2.5536373E+001
 2.7300000E+003, 6.6347729E+001, 2.5085067E+001, 2.8748469E+001, 2.5543502E+001
 2.7400000E+003, 6.6364887E+001, 2.5086909E+001, 2.8774593E+001, 2.5550676E+001
 2.7500000E+003, 6.6381960E+001, 2.5088779E+001, 2.8800726E+001, 2.5557896E+001
 2.7600000E+003, 6.6398947E+001, 2.5090675E+001, 2.8826867E+001, 2.5565162E+001
