s,C,C,C,C,C,C
Time,"TS_x195-40","TS_x145-30","TS_x095-20","TS_x025-40","TS_x195-01","TS_x025-01"
 9.5000000E+002, 7.8189237E+002, 5.8318603E+002, 3.1790387E+002, 2.3796344E+002, 1.8221182E+002, 9.6233508E+001
 9.6000000E+002, 7.8194948E+002, 5.8382109E+002, 3.1912089E+002, 2.3925241E+002, 1.8394239E+002, 9.7451945E+001
 9.7000000E+002, 7.8199762E+002, 5.8435743E+002, 3.2015318E+002, 2.4034516E+002, 1.8541363E+002, 9.8493727E+001
 9.8000000E+002, 7.8205284E+002, 5.8497410E+002, 3.2134515E+002, 2.4160631E+002, 1.8711608E+002, 9.9706060E+001
 9.9000000E+002, 7.8210711E+002, 5.8558133E+002, 3.2252413E+002, 2.4285305E+002, 1.8880362E+002, 1.0091502E+002
 1.0000000E+003, 7.8215288E+002, 5.8609453E+002, 3.2352458E+002, 2.4391050E+002, 1.9023834E+002, 1.0194855E+002
 1.0100000E+003, 7.8220544E+002, 5.8668502E+002, 3.2468028E+002, 2.4513149E+002, 1.9189862E+002, 1.0315111E+002
 1.0200000E+003, 7.8225713E+002, 5.8726689E+002, 3.2582388E+002, 2.4633913E+002, 1.9354446E+002, 1.0435015E+002
 1.0300000E+003, 7.8230077E+002, 5.8775900E+002, 3.2679471E+002, 2.4736389E+002, 1.9494380E+002, 1.0537508E+002
 1.0400000E+003, 7.8235091E+002, 5.8832559E+002, 3.2791662E+002, 2.4854766E+002, 1.9656323E+002, 1.0656749E+002
 1.0500000E+003, 7.8240027E+002, 5.8888431E+002, 3.2902726E+002, 2.4971905E+002, 1.9816869E+002, 1.0775628E+002
 1.0600000E+003, 7.8244196E+002, 5.8935713E+002, 3.2997045E+002, 2.5071348E+002, 1.9953380E+002, 1.0877234E+002
 1.0700000E+003, 7.8248991E+002, 5.8990186E+002, 3.3106084E+002, 2.5186271E+002, 2.0111374E+002, 1.0995432E+002
 1.0800000E+003, 7.8253714E+002, 5.9043938E+002, 3.3214070E+002, 2.5300044E+002, 2.0268017E+002, 1.1113260E+002
 1.0900000E+003, 7.8257707E+002, 5.9089454E+002, 3.3305808E+002, 2.5396671E+002, 2.0401220E+002, 1.1213958E+002
 1.1000000E+003, 7.8262302E+002, 5.9141923E+002, 3.3411900E+002, 2.5508384E+002, 2.0555399E+002, 1.1331092E+002
 1.1100000E+003, 7.8266831E+002, 5.9193730E+002, 3.3517005E+002, 2.5619027E+002, 2.0708273E+002, 1.1447850E+002
 1.1200000E+003, 7.8270662E+002, 5.9237623E+002, 3.3606326E+002, 2.5713032E+002, 2.0838283E+002, 1.1547627E+002
 1.1300000E+003, 7.8275075E+002, 5.9288251E+002, 3.3709657E+002, 2.5821756E+002, 2.0988779E+002, 1.1663683E+002
 1.1400000E+003, 7.8279427E+002, 5.9338269E+002, 3.3812062E+002, 2.5929484E+002, 2.1138017E+002, 1.1779358E+002
 1.1500000E+003, 7.8283112E+002, 5.9380670E+002, 3.3899116E+002, 2.6021047E+002, 2.1264947E+002, 1.1878205E+002
 1.1600000E+003, 7.8287357E+002, 5.9429601E+002, 3.3999856E+002, 2.6126986E+002, 2.1411892E+002, 1.1993172E+002
 1.1700000E+003, 7.8291548E+002, 5.9477970E+002, 3.4099726E+002, 2.6231994E+002, 2.1557625E+002, 1.2107757E+002
 1.1800000E+003, 7.8295097E+002, 5.9518994E+002, 3.4184650E+002, 2.6321276E+002, 2.1681586E+002, 1.2205669E+002
 1.1900000E+003, 7.8299189E+002, 5.9566360E+002, 3.4282954E+002, 2.6424614E+002, 2.1825109E+002, 1.2319543E+002
 1.2000000E+003, 7.8303231E+002, 5.9613206E+002, 3.4380439E+002, 2.6527081E+002, 2.1967464E+002, 1.2433035E+002
 1.2100000E+003, 7.8306656E+002, 5.9652957E+002, 3.4463359E+002, 2.6614232E+002, 2.2088566E+002, 1.2530008E+002
 1.2200000E+003, 7.8310608E+002, 5.9698874E+002, 3.4559368E+002, 2.6715136E+002, 2.2228793E+002, 1.2642789E+002
 1.2300000E+003, 7.8314513E+002, 5.9744311E+002, 3.4654606E+002, 2.6815225E+002, 2.2367896E+002, 1.2755187E+002
 1.2400000E+003, 7.8317825E+002, 5.9782882E+002, 3.4735636E+002, 2.6900381E+002, 2.2486244E+002, 1.2851224E+002
 1.2500000E+003, 7.8321647E+002, 5.9827458E+002, 3.4829482E+002, 2.6999004E+002, 2.2623299E+002, 1.2962912E+002
 1.2600000E+003, 7.8325426E+002, 5.9871586E+002, 3.4922599E+002, 2.7096864E+002, 2.2759272E+002, 1.3074220E+002
 1.2700000E+003, 7.8328632E+002, 5.9909064E+002, 3.5001845E+002, 2.7180148E+002, 2.2874970E+002, 1.3169323E+002
 1.2800000E+003, 7.8332335E+002, 5.9952392E+002, 3.5093647E+002, 2.7276632E+002, 2.3008971E+002, 1.3279924E+002
 1.2900000E+003, 7.8335998E+002, 5.9995305E+002, 3.5184759E+002, 2.7372399E+002, 2.3141932E+002, 1.3390146E+002
 1.3000000E+003, 7.8339107E+002, 6.0031765E+002, 3.5262317E+002, 2.7453924E+002, 2.3255080E+002, 1.3484321E+002
 1.3100000E+003, 7.8342699E+002, 6.0073933E+002, 3.5352185E+002, 2.7548398E+002, 2.3386144E+002, 1.3593841E+002
 1.3200000E+003, 7.8346255E+002, 6.0115714E+002, 3.5441400E+002, 2.7642195E+002, 2.3516207E+002, 1.3702985E+002
 1.3300000E+003, 7.8349274E+002, 6.0151225E+002, 3.5517360E+002, 2.7722066E+002, 2.3626902E+002, 1.3796238E+002
 1.3400000E+003, 7.8352764E+002, 6.0192311E+002, 3.5605395E+002, 2.7814646E+002, 2.3755141E+002, 1.3904685E+002
 1.3500000E+003, 7.8356219E+002, 6.0233035E+002, 3.5692812E+002, 2.7906589E+002, 2.3882416E+002, 1.4012760E+002
 1.3600000E+003, 7.8359155E+002, 6.0267660E+002, 3.5767256E+002, 2.7984901E+002, 2.3990753E+002, 1.4105099E+002
 1.3700000E+003, 7.8362550E+002, 6.0307735E+002, 3.5853552E+002, 2.8075695E+002, 2.4116274E+002, 1.4212484E+002
 1.3800000E+003, 7.8365913E+002, 6.0347472E+002, 3.5939261E+002, 2.8165888E+002, 2.4240869E+002, 1.4319500E+002
 1.3900000E+003, 7.8368771E+002, 6.0381269E+002, 3.6012265E+002, 2.8242727E+002, 2.4346937E+002, 1.4410934E+002
 1.4000000E+003, 7.8372078E+002, 6.0420397E+002, 3.6096910E+002, 2.8331835E+002, 2.4469846E+002, 1.4517267E+002
 1.4100000E+003, 7.8375354E+002, 6.0459209E+002, 3.6180995E+002, 2.8420375E+002, 2.4591863E+002, 1.4623235E+002
 1.4200000E+003, 7.8378140E+002, 6.0492229E+002, 3.6252630E+002, 2.8495821E+002, 2.4695749E+002, 1.4713775E+002
 1.4300000E+003, 7.8381364E+002, 6.0530470E+002, 3.6335703E+002, 2.8583333E+002, 2.4816145E+002, 1.4819068E+002
 1.4400000E+003, 7.8384561E+002, 6.0568413E+002, 3.6418243E+002, 2.8670307E+002, 2.4935683E+002, 1.4923999E+002
 1.4500000E+003, 7.8387279E+002, 6.0600704E+002, 3.6488574E+002, 2.8744435E+002, 2.5037472E+002, 1.5013655E+002
 1.4600000E+003, 7.8390426E+002, 6.0638111E+002, 3.6570149E+002, 2.8830435E+002, 2.5155450E+002, 1.5117920E+002
 1.4700000E+003, 7.8393548E+002, 6.0675238E+002, 3.6651217E+002, 2.8915925E+002, 2.5272605E+002, 1.5221828E+002
 1.4800000E+003, 7.8396203E+002, 6.0706843E+002, 3.6720305E+002, 2.8988802E+002, 2.5372376E+002, 1.5310610E+002
 1.4900000E+003, 7.8399278E+002, 6.0743465E+002, 3.6800452E+002, 2.9073367E+002, 2.5488030E+002, 1.5413860E+002
 1.5000000E+003, 7.8402329E+002, 6.0779823E+002, 3.6880114E+002, 2.9157447E+002, 2.5602892E+002, 1.5516759E+002
 1.5100000E+003, 7.8404926E+002, 6.0810781E+002, 3.6948016E+002, 2.9229135E+002, 2.5700723E+002, 1.5604678E+002
 1.5200000E+003, 7.8407933E+002, 6.0846664E+002, 3.7026798E+002, 2.9312336E+002, 2.5814142E+002, 1.5706927E+002
 1.5300000E+003, 7.8410918E+002, 6.0882297E+002, 3.7105117E+002, 2.9395075E+002, 2.5926798E+002, 1.5808829E+002
 1.5400000E+003, 7.8413459E+002, 6.0912645E+002, 3.7171885E+002, 2.9465633E+002, 2.6022762E+002, 1.5895898E+002
 1.5500000E+003, 7.8416403E+002, 6.0947828E+002, 3.7249363E+002, 2.9547535E+002, 2.6134030E+002, 1.5997159E+002
 1.5600000E+003, 7.8419326E+002, 6.0982775E+002, 3.7326398E+002, 2.9628997E+002, 2.6244565E+002, 1.6098078E+002
 1.5700000E+003, 7.8421815E+002, 6.1012546E+002, 3.7392080E+002, 2.9698477E+002, 2.6338733E+002, 1.6184308E+002
 1.5800000E+003, 7.8424700E+002, 6.1047068E+002, 3.7468309E+002, 2.9779141E+002, 2.6447932E+002, 1.6284595E+002
 1.5900000E+003, 7.8427564E+002, 6.1081367E+002, 3.7544114E+002, 2.9859385E+002, 2.6556425E+002, 1.6384545E+002
 1.6000000E+003, 7.8430004E+002, 6.1110592E+002, 3.7608757E+002, 2.9927836E+002, 2.6648864E+002, 1.6469948E+002
 1.6100000E+003, 7.8432833E+002, 6.1144487E+002, 3.7683789E+002, 3.0007317E+002, 2.6756072E+002, 1.6569275E+002
 1.6200000E+003, 7.8435642E+002, 6.1178171E+002, 3.7758415E+002, 3.0086397E+002, 2.6862600E+002, 1.6668269E+002
 1.6300000E+003, 7.8438036E+002, 6.1206877E+002, 3.7822060E+002, 3.0153865E+002, 2.6953376E+002, 1.6752857E+002
 1.6400000E+003, 7.8440811E+002, 6.1240177E+002, 3.7895945E+002, 3.0232215E+002, 2.7058666E+002, 1.6851238E+002
 1.6500000E+003, 7.8443569E+002, 6.1273277E+002, 3.7969439E+002, 3.0310181E+002, 2.7163302E+002, 1.6949290E+002
 1.6600000E+003, 7.8445918E+002, 6.1301490E+002, 3.8032127E+002, 3.0376708E+002, 2.7252476E+002, 1.7033075E+002
 1.6700000E+003, 7.8448643E+002, 6.1334226E+002, 3.8104909E+002, 3.0453976E+002, 2.7355920E+002, 1.7130523E+002
 1.6800000E+003, 7.8451352E+002, 6.1366769E+002, 3.8177315E+002, 3.0530875E+002, 2.7458735E+002, 1.7227648E+002
 1.6900000E+003, 7.8453660E+002, 6.1394514E+002, 3.8239083E+002, 3.0596500E+002, 2.7546366E+002, 1.7310642E+002
