t,001_N_ITERATIONS( 0.0050_ 0.0000_ 0.0000),002_TEMPERATURE( 0.0000_ 0.0000_ 0.0000),003_TEMPERATURE( 0.0080_ 0.0000_ 0.0000),004_TEMPERATURE( 0.0160_ 0.0000_ 0.0000),005_TEMPERATURE( 0.0400_ 0.0000_ 0.0000),
        84.0000,        1.0000000,       85.4261300,       35.5772585,       27.3233087,       26.8500005,
        85.0000,        1.0000000,       85.7737762,       35.7529506,       27.3459945,       26.8500005,
        86.0000,        1.0000000,       86.1193833,       35.9290120,       27.3692787,       26.8500005,
        87.0000,        1.0000000,       86.4629868,       36.1054230,       27.3931610,       26.8500006,
        88.0000,        1.0000000,       86.8046211,       36.2821645,       27.4176410,       26.8500006,
        89.0000,        1.0000000,       87.1443197,       36.4592183,       27.4427181,       26.8500007,
        90.0000,        1.0000000,       87.4821151,       36.6365667,       27.4683913,       26.8500007,
        91.0000,        1.0000000,       87.8180390,       36.8141928,       27.4946596,       26.8500008,
        92.0000,        1.0000000,       88.1521221,       36.9920800,       27.5215217,       26.8500009,
        93.0000,        1.0000000,       88.4843943,       37.1702128,       27.5489760,       26.8500010,
        94.0000,        1.0000000,       88.8148849,       37.3485757,       27.5770211,       26.8500012,
        95.0000,        1.0000000,       89.1436221,       37.5271541,       27.6056550,       26.8500013,
        96.0000,        1.0000000,       89.4706336,       37.7059338,       27.6348759,       26.8500015,
        97.0000,        1.0000000,       89.7959462,       37.8849013,       27.6646815,       26.8500017,
        98.0000,        1.0000000,       90.1195862,       38.0640432,       27.6950696,       26.8500020,
        99.0000,        1.0000000,       90.4415791,       38.2433469,       27.7260378,       26.8500023,
       100.0000,        1.0000000,       90.7619498,       38.4228001,       27.7575837,       26.8500026,
       101.0000,        1.0000000,       91.0807226,       38.6023910,       27.7897044,       26.8500030,
       102.0000,        1.0000000,       91.3979211,       38.7821082,       27.8223974,       26.8500034,
       103.0000,        1.0000000,       91.7135684,       38.9619406,       27.8556597,       26.8500039,
       104.0000,        1.0000000,       92.0276872,       39.1418775,       27.8894884,       26.8500045,
       105.0000,        1.0000000,       92.3402993,       39.3219089,       27.9238803,       26.8500052,
       106.0000,        1.0000000,       92.6514262,       39.5020246,       27.9588325,       26.8500059,
       107.0000,        1.0000000,       92.9610890,       39.6822153,       27.9943415,       26.8500067,
