t,001_TEMPERATURE( 0.0000_ 0.0000_ 0.0000),002_THERMAL_CONDUCTIVITY_Z( 0.0000_ 0.0000_ 0.0000),003_SPECIFIC_HEAT_CAPACITY( 0.0000_ 0.0000_ 0.0000),004_SOLID_DENSITY( 0.0000_ 0.0000_ 0.0000),005_BULK_DENSITY( 0.0000_ 0.0000_ 0.0000),
       850.0000,      876.8500000,        0.3200971,     2319.5549954,     1600.0000000,     1430.0000000,
       860.0000,      886.8500000,        0.3210686,     2325.5876825,     1600.0000000,     1430.0000000,
       870.0000,      896.8500000,        0.3220347,     2331.5840745,     1600.0000000,     1430.0000000,
       880.0000,      906.8500000,        0.3229953,     2337.5446971,     1600.0000000,     1430.0000000,
       890.0000,      916.8500000,        0.3239508,     2343.4700643,     1600.0000000,     1430.0000000,
       900.0000,      926.8500000,        0.3249010,     2349.3606781,     1600.0000000,     1430.0000000,
       910.0000,      936.8500000,        0.3258460,     2355.2170295,     1600.0000000,     1430.0000000,
       920.0000,      946.8500000,        0.3267860,     2361.0395984,     1600.0000000,     1430.0000000,
       930.0000,      956.8500000,        0.3277211,     2366.8288544,     1600.0000000,     1430.0000000,
       940.0000,      966.8500000,        0.3286511,     2372.5852564,     1600.0000000,     1430.0000000,
       950.0000,      976.8500000,        0.3295764,     2378.3092537,     1600.0000000,     1430.0000000,
       960.0000,      986.8500000,        0.3304968,     2384.0012857,     1600.0000000,     1430.0000000,
       970.0000,      996.8500000,        0.3314125,     2389.6617826,     1600.0000000,     1430.0000000,
       980.0000,     1006.8500000,        0.3323235,     2395.2911653,     1600.0000000,     1430.0000000,
       990.0000,     1016.8500000,        0.3332299,     2400.8898459,     1600.0000000,     1430.0000000,
      1000.0000,     1026.8500000,        0.3341317,     2406.4582279,     1600.0000000,     1430.0000000,
      1010.0000,     1036.8500000,        0.3350291,     2411.9967065,     1600.0000000,     1430.0000000,
      1020.0000,     1046.8500000,        0.3359220,     2417.5056687,     1600.0000000,     1430.0000000,
      1030.0000,     1056.8500000,        0.3368105,     2422.9854937,     1600.0000000,     1430.0000000,
      1040.0000,     1066.8500000,        0.3376947,     2428.4365529,     1600.0000000,     1430.0000000,
      1050.0000,     1076.8500000,        0.3385746,     2433.8592103,     1600.0000000,     1430.0000000,
      1060.0000,     1086.8500000,        0.3394503,     2439.2538227,     1600.0000000,     1430.0000000,
      1070.0000,     1096.8500000,        0.3403218,     2444.6207396,     1600.0000000,     1430.0000000,
      1080.0000,     1106.8500000,        0.3411892,     2449.9603040,     1600.0000000,     1430.0000000,
      1090.0000,     1116.8500000,        0.3420525,     2455.2728519,     1600.0000000,     1430.0000000,
      1100.0000,     1126.8500000,        0.3429118,     2460.5587129,     1600.0000000,     1430.0000000,
      1110.0000,     1136.8500000,        0.3437670,     2465.8182102,     1600.0000000,     1430.0000000,
      1120.0000,     1146.8500000,        0.3446184,     2471.0516610,     1600.0000000,     1430.0000000,
      1130.0000,     1156.8500000,        0.3454659,     2476.2593763,     1600.0000000,     1430.0000000,
      1140.0000,     1166.8500000,        0.3463095,     2481.4416613,     1600.0000000,     1430.0000000,
      1150.0000,     1176.8500000,        0.3471494,     2486.5988154,     1600.0000000,     1430.0000000,
      1160.0000,     1186.8500000,        0.3479854,     2491.7311327,     1600.0000000,     1430.0000000,
      1170.0000,     1196.8500000,        0.3488178,     2496.8389017,     1600.0000000,     1430.0000000,
      1180.0000,     1206.8500000,        0.3496465,     2501.9224055,     1600.0000000,     1430.0000000,
