Time (s),Depth 0.0 cm,Depth 0.8 cm,Depth 1.6 cm,Depth 4.0 cm
100.67114093959732,91.12686213667047,38.693250709733206,27.9287890647107,27.000001231243346
102.68456375838927,91.76495608309675,39.055147404232464,27.994814607244507,27.00000167664572
104.69798657718121,92.3968242760714,39.41748161251995,28.063140165665992,27.000002257360077
106.71140939597316,93.02264546612226,39.780170074571686,28.13374063905893,27.000003006751196
108.72483221476512,93.64259001040689,40.143135242191576,28.206589541317893,27.00000396447835
110.73825503355705,94.25682041432745,40.50630486596057,28.28165917969666,27.000005177295236
112.751677852349,94.86549182902166,40.86961161527435,28.358920818903524,27.000006699892158
114.76510067114096,95.46875250904543,41.232992728570764,28.438344831639153,27.00000859577601
116.7785234899329,96.0667442340728,41.59638969111779,28.51990083645572,27.00001093818318
118.79194630872485,96.65960269801097,41.959747937977156,28.603557823790396,27.000013811020015
120.8053691275168,97.2474578685567,42.323016579981,28.689284270994857,27.000017309825132
122.81879194630874,97.83043431989218,42.68614815075714,28.777048247146087,27.000021542747824
124.83221476510069,98.40865154093353,43.04909837302144,28.86681750838551,27.00002663153637
126.84563758389262,98.98222422129217,43.41182594251687,28.95855958449312,27.000032712530317
128.85906040268458,99.55126251688728,43.77429232812802,29.052241857362716,27.00003993765052
130.87248322147653,100.11587229695206,44.13646158683239,29.14783163200375,27.000048475381096
132.88590604026848,100.67615537400219,44.498300192270364,29.245296200655524,27.000058511737397
134.8993288590604,101.23220971818112,44.85977687582492,29.34460290056096,27.000070251214407
136.91275167785236,101.7841296572604,45.22086247920063,29.44571916590972,27.000083917710267
138.9261744966443,102.33200606345117,45.58152981758061,29.548612574424777,27.000099755419914
140.93959731543626,102.87592652807447,45.94175355252074,29.65325088903286,27.000118029694068
142.9530201342282,103.41597552504102,46.301510073813986,29.759602095026896,27.000139027859422
144.96644295302013,103.95223456400456,46.6607773896234,29.867634433098267,27.00016305999598
146.9798657718121,104.48478233397502,47.01953502424305,29.977316428588505,27.00019045966816
148.99328859060404,105.01369483810775,47.37776392289989,30.088616917282998,27.00022158460651
151.006711409396,105.53904552032263,47.73544636306026,30.201505068044824,27.000256817337412
153.02013422818794,106.0609053843505,48.092565871748405,30.31595040256328,27.000296565758557
155.0335570469799,106.57934310575284,48.44910714842617,30.431922812470113,27.000341263658306
157.04697986577182,107.09442513741541,48.80505599302017,30.54939257405669,27.00039137117755
159.06040268456377,107.6062158089744,49.160399238716074,30.668330360806166,27.000447375212982
161.07382550335572,108.11477742059621,49.51512468917119,30.788707253938146,27.000509789761185
163.08724832214767,108.62017033149819,49.86922105982414,30.91049475114654,27.00057915620309
165.10067114093962,109.1224530435659,50.22267792300655,31.033664773697648,27.000656043528927
167.11409395973155,109.62168228039536,50.575485656584476,31.158189672040585,27.000741048503905
169.1275167785235,110.11791306206206,50.92763539587959,31.284042230070774,27.000834795775226
171.14093959731545,110.61119877589614,51.27911898863876,31.411195668174766,27.00093793792134
173.1543624161074,111.10159124352126,51.62992895283935,31.5396236451745,27.001051155444472
175.16778523489936,111.58914078439524,51.980058437133344,31.66930025927891,27.00117515670778
177.1812080536913,112.07389627607373,52.32950118374907,31.800200048142045,27.001310677818626
179.19463087248323,112.55590521140002,52.67825149368213,31.932297988118016,27.001458482459647
181.20805369127518,113.03521375281154,53.0263041940209,32.06556949279619,27.001619361669444
