t,001_MLR( 0.0000_ 0.0000_ 0.0000),
       325.9000,        8.4923529,
       326.9000,        8.4768068,
       327.9000,        8.4610989,
       328.9000,        8.4452287,
       329.9000,        8.4291948,
       330.9000,        8.4129948,
       331.9000,        8.3966262,
       332.9000,        8.3800857,
       333.9000,        8.3633701,
       334.9000,        8.3464758,
       335.9000,        8.3293988,
       336.9000,        8.3121352,
       337.9000,        8.2946809,
       338.9000,        8.2770311,
       339.9000,        8.2591814,
       340.9000,        8.2411269,
       341.9000,        8.2228625,
       342.9000,        8.2043830,
       343.9000,        8.1856828,
       344.9000,        8.1667563,
       345.9000,        8.1475973,
       346.9000,        8.1281997,
       347.9000,        8.1085569,
       348.9000,        8.0886620,
       349.9000,        8.0685078,
       350.9000,        8.0480873,
       351.9000,        8.0273919,
       352.9000,        8.0064142,
       353.9000,        7.9851450,
       354.9000,        7.9635757,
       355.9000,        7.9416969,
       356.9000,        7.9194985,
       357.9000,        7.8969701,
       358.9000,        7.8741015,
       359.9000,        7.8508808,
       360.9000,        7.8272956,
       361.9000,        7.8033341,
       362.9000,        7.7789831,
       363.9000,        7.7542279,
       364.9000,        7.7290543,
       365.9000,        7.7034469,
       366.9000,        7.6773884,
       367.9000,        7.6508638,
       368.9000,        7.6238527,
       369.9000,        7.5963371,
       370.9000,        7.5682967,
       371.9000,        7.5397099,
       372.9000,        7.5105535,
       373.9000,        7.4808041,
       374.9000,        7.4504357,
       375.9000,        7.4194213,
       376.9000,        7.3877318,
       377.9000,        7.3553367,
       378.9000,        7.3222032,
       379.9000,        7.2882963,
       380.9000,        7.2535786,
       381.9000,        7.2180105,
       382.9000,        7.1815493,
       383.9000,        7.1441492,
       384.9000,        7.1057612,
       385.9000,        7.0663325,
       386.9000,        7.0258064,
       387.9000,        6.9841221,
       388.9000,        6.9412135,
       389.9000,        6.8970090,
       390.9000,        6.8514320,
       391.9000,        6.8043983,
       392.9000,        6.7558174,
       393.9000,        6.7055902,
       394.9000,        6.6536086,
       395.9000,        6.5997552,
       396.9000,        6.5439005,
       397.9000,        6.4859031,
       398.9000,        6.4256075,
       399.9000,        6.3628413,
       400.9000,        6.2974156,
       401.9000,        6.2291204,
       402.9000,        6.1577225,
       403.9000,        6.0829625,
       404.9000,        6.0045509,
       405.9000,        5.9221637,
       406.9000,        5.8354371,
       407.9000,        5.7439620,
       408.9000,        5.6472771,
       409.9000,        5.5448599,
       410.9000,        5.4361173,
       411.9000,        5.3203758,
       412.9000,        5.1968675,
       413.9000,        5.0647162,
       414.9000,        4.9229207,
       415.9000,        4.7703375,
       416.9000,        4.6056636,
       417.9000,        4.4274202,
       418.9000,        4.2339428,
       419.9000,        4.0233834,
       420.9000,        3.7937437,
       421.9000,        3.5429487,
       422.9000,        3.2690136,
       423.9000,        2.9703529,
       424.9000,        2.6463212,
       425.9000,        2.2980878,
       426.9000,        1.9299405,
       427.9000,        1.5509320,
       428.9000,        1.1763633,
       429.9000,        0.8278045,
       430.9000,        0.5297158,
       431.9000,        0.3017853,
       432.9000,        0.1501168,
       433.9000,        0.0642162,
       434.9000,        0.0233929,
       435.9000,        0.0072216,
       436.9000,        0.0018831,
       437.9000,        0.0004141,
       438.9000,        0.0000768,
       439.9000,        0.0000120,
       440.9000,        0.0000016,
       441.9000,        0.0000002,
       442.9000,        0.0000000,
       443.9000,        0.0000000,
       444.9000,        0.0000000,
       445.9000,        0.0000000,
       446.9000,        0.0000000,
       447.9000,        0.0000000,
       448.9000,        0.0000000,
       449.9000,        0.0000000,
       450.9000,        0.0000000,
       451.9000,        0.0000000,
       452.9000,        0.0000000,
       453.9000,        0.0000000,
       454.9000,        0.0000000,
       455.9000,        0.0000000,
       456.9000,        0.0000000,
       457.9000,        0.0000000,
       458.9000,        0.0000000,
       459.9000,        0.0000000,
       460.9000,        0.0000000,
       461.9000,        0.0000000,
       462.9000,        0.0000000,
       463.9000,        0.0000000,
       464.9000,        0.0000000,
       465.9000,        0.0000000,
       466.9000,        0.0000000,
       467.9000,        0.0000000,
       468.9000,        0.0000000,
       469.9000,        0.0000000,
       470.9000,        0.0000000,
       471.9000,        0.0000000,
       472.9000,        0.0000000,
       473.9000,        0.0000000,
       474.9000,        0.0000000,
       475.9000,        0.0000000,
       476.9000,        0.0000000,
       477.9000,        0.0000000,
       478.9000,        0.0000000,
       479.9000,        0.0000000,
       480.9000,        0.0000000,
       481.9000,        0.0000000,
       482.9000,        0.0000000,
       483.9000,        0.0000000,
       484.9000,        0.0000000,
       485.9000,        0.0000000,
       486.9000,        0.0000000,
       487.9000,        0.0000000,
       488.9000,        0.0000000,
       489.9000,        0.0000000,
       490.9000,        0.0000000,
       491.9000,        0.0000000,
       492.9000,        0.0000000,
       493.9000,        0.0000000,
       494.9000,        0.0000000,
       495.9000,        0.0000000,
       496.9000,        0.0000000,
       497.9000,        0.0000000,
       498.9000,        0.0000000,
       499.9000,        0.0000000,
       500.9000,        0.0000000,
       501.9000,        0.0000000,
       502.9000,        0.0000000,
       503.9000,        0.0000000,
       504.9000,        0.0000000,
       505.9000,        0.0000000,
       506.9000,        0.0000000,
       507.9000,        0.0000000,
       508.9000,        0.0000000,
       509.9000,        0.0000000,
       510.9000,        0.0000000,
       511.9000,        0.0000000,
       512.9500,        0.0000000,
       514.0000,        0.0000000,
       515.0500,        0.0000000,
       516.1000,        0.0000000,
       517.1500,        0.0000000,
       518.2000,        0.0000000,
       519.2500,        0.0000000,
       520.3000,        0.0000000,
       521.3500,        0.0000000,
       522.4000,        0.0000000,
       523.4500,        0.0000000,
       524.5000,        0.0000000,
       525.5500,        0.0000000,
       526.6000,        0.0000000,
       527.6500,        0.0000000,
       528.7000,        0.0000000,
       529.7500,        0.0000000,
       530.8000,        0.0000000,
       531.8500,        0.0000000,
       532.9000,        0.0000000,
       533.9500,        0.0000000,
       535.0000,        0.0000000,
       536.0500,        0.0000000,
       537.1000,        0.0000000,
       538.1500,        0.0000000,
       539.2000,        0.0000000,
       540.2500,        0.0000000,
       541.3000,        0.0000000,
       542.3500,        0.0000000,
       543.4000,        0.0000000,
       544.4500,        0.0000000,
       545.5000,        0.0000000,
       546.5500,        0.0000000,
       547.6000,        0.0000000,
       548.6500,        0.0000000,
       549.7000,        0.0000000,
       550.7500,        0.0000000,
       551.8000,        0.0000000,
       552.8500,        0.0000000,
       553.9000,        0.0000000,
       554.9500,        0.0000000,
       556.0000,        0.0000000,
       557.0500,        0.0000000,
       558.1000,        0.0000000,
       559.1500,        0.0000000,
       560.2000,        0.0000000,
       561.2500,        0.0000000,
       562.3000,        0.0000000,
       563.3500,        0.0000000,
       564.4000,        0.0000000,
       565.4500,        0.0000000,
       566.5000,        0.0000000,
       567.5500,        0.0000000,
       568.6000,        0.0000000,
       569.6500,        0.0000000,
       570.7000,        0.0000000,
       571.7500,        0.0000000,
       572.8000,        0.0000000,
       573.8500,        0.0000000,
       574.9000,        0.0000000,
       575.9500,        0.0000000,
       577.0000,        0.0000000,
       578.0500,        0.0000000,
       579.1000,        0.0000000,
       580.1500,        0.0000000,
       581.2000,        0.0000000,
       582.2500,        0.0000000,
       583.3000,        0.0000000,
       584.3500,        0.0000000,
       585.4000,        0.0000000,
       586.4500,        0.0000000,
       587.5000,        0.0000000,
       588.5500,        0.0000000,
       589.6000,        0.0000000,
       590.6500,        0.0000000,
       591.7000,        0.0000000,
       592.7500,        0.0000000,
       593.8000,        0.0000000,
       594.8500,        0.0000000,
       595.9000,        0.0000000,
       596.9500,        0.0000000,
       598.0000,        0.0000000,
       599.0500,        0.0000000,
