t,001_MLR( 0.0000_ 0.0000_ 0.0000),
       313.1035,        8.6520202,
       314.1040,        8.6378711,
       315.1045,        8.6235784,
       316.1050,        8.6091406,
       317.1055,        8.5945563,
       318.1060,        8.5798239,
       319.1065,        8.5649416,
       320.1070,        8.5499077,
       321.1075,        8.5347201,
       322.1080,        8.5193768,
       323.1085,        8.5038753,
       324.1090,        8.4882135,
       325.1095,        8.4723886,
       326.1100,        8.4563980,
       327.1105,        8.4402389,
       328.1110,        8.4239082,
       329.1115,        8.4074027,
       330.1120,        8.3907192,
       331.1125,        8.3738542,
       332.1130,        8.3568038,
       333.1135,        8.3395644,
       334.1140,        8.3221318,
       335.1145,        8.3045017,
       336.1150,        8.2866698,
       337.1155,        8.2686313,
       338.1160,        8.2503813,
       339.1165,        8.2319148,
       340.1170,        8.2132264,
       341.1175,        8.1943104,
       342.1180,        8.1751609,
       343.1185,        8.1557719,
       344.1190,        8.1361368,
       345.1195,        8.1162489,
       346.1200,        8.0961012,
       347.1205,        8.0756863,
       348.1210,        8.0549963,
       349.1215,        8.0340232,
       350.1220,        8.0127584,
       351.1225,        7.9911931,
       352.1230,        7.9693178,
       353.1235,        7.9471228,
       354.1240,        7.9245977,
       355.1245,        7.9017317,
       356.1250,        7.8785135,
       357.1255,        7.8549311,
       358.1260,        7.8309719,
       359.1265,        7.8066227,
       360.1270,        7.7818697,
       361.1275,        7.7566981,
       362.1280,        7.7310926,
       363.1285,        7.7050369,
       364.1290,        7.6785137,
       365.1295,        7.6515050,
       366.1300,        7.6239915,
       367.1305,        7.5959530,
       368.1310,        7.5673681,
       369.1315,        7.5382139,
       370.1320,        7.5084665,
       371.1325,        7.4781001,
       372.1330,        7.4470877,
       373.1335,        7.4154003,
       374.1340,        7.3830072,
       375.1345,        7.3498756,
       376.1350,        7.3159706,
       377.1355,        7.2812549,
       378.1360,        7.2456884,
       379.1365,        7.2092286,
       380.1370,        7.1718296,
       381.1375,        7.1334424,
       382.1380,        7.0940141,
       383.1385,        7.0534879,
       384.1390,        7.0118025,
       385.1395,        6.9688919,
       386.1400,        6.9246846,
       387.1405,        6.8791032,
       388.1410,        6.8320637,
       389.1415,        6.7834750,
       390.1420,        6.7332375,
       391.1425,        6.6812431,
       392.1430,        6.6273732,
       393.1435,        6.5714982,
       394.1440,        6.5134755,
       395.1445,        6.4531486,
