Time (s),Temp_at_0.0000m,Temp_at_0.0400m,Temp_at_0.1000m
1370.7415,241.3749,519.1425,341.6381
1374.7495,241.6178,520.1197,342.7957
1378.7575,241.8601,521.0953,343.9533
1382.7655,242.1018,522.0693,345.1109
1386.7735,242.3429,523.0417,346.2684
1390.7816,242.5835,524.0125,347.4260
1394.7896,242.8234,524.9817,348.5835
1398.7976,243.0628,525.9494,349.7410
1402.8056,243.3017,526.9154,350.8985
1406.8136,243.5399,527.8799,352.0559
1410.8216,243.7776,528.8429,353.2133
1414.8297,244.0147,529.8043,354.3706
1418.8377,244.2513,530.7641,355.5278
1422.8457,244.4874,531.7225,356.6850
1426.8537,244.7228,532.6793,357.8421
1430.8617,244.9578,533.6345,358.9991
1434.8697,245.1922,534.5883,360.1561
1438.8778,245.4260,535.5405,361.3129
1442.8858,245.6593,536.4913,362.4696
1446.8938,245.8921,537.4405,363.6263
1450.9018,246.1243,538.3883,364.7828
1454.9098,246.3560,539.3346,365.9392
1458.9178,246.5872,540.2794,367.0955
1462.9259,246.8179,541.2227,368.2516
1466.9339,247.0480,542.1646,369.4076
1470.9419,247.2777,543.1050,370.5635
1474.9499,247.5068,544.0439,371.7192
1478.9579,247.7354,544.9815,372.8748
1482.9659,247.9635,545.9175,374.0302
1486.9739,248.1911,546.8522,375.1854
1490.9820,248.4182,547.7854,376.3405
1494.9900,248.6448,548.7172,377.4954
1498.9980,248.8709,549.6476,378.6501
1503.0060,249.0965,550.5765,379.8047
1507.0140,249.3216,551.5041,380.9590
1511.0220,249.5462,552.4303,382.1132
1515.0301,249.7704,553.3551,383.2671
1519.0381,249.9940,554.2785,384.4209
1523.0461,250.2172,555.2005,385.5744
1527.0541,250.4399,556.1211,386.7277
1531.0621,250.6621,557.0404,387.8808
1535.0701,250.8839,557.9583,389.0336
1539.0782,251.1052,558.8749,390.1863
1543.0862,251.3260,559.7901,391.3386
1547.0942,251.5463,560.7039,392.4908
1551.1022,251.7662,561.6165,393.6427
1555.1102,251.9857,562.5276,394.7943
1559.1182,252.2046,563.4375,395.9457
1563.1263,252.4231,564.3460,397.0969
1567.1343,252.6412,565.2532,398.2477
1571.1423,252.8588,566.1591,399.3983
1575.1503,253.0760,567.0637,400.5486
1579.1583,253.2927,567.9670,401.6987
1583.1663,253.5090,568.8690,402.8484
1587.1743,253.7249,569.7697,403.9979
1591.1824,253.9403,570.6691,405.1470
1595.1904,254.1552,571.5672,406.2959
1599.1984,254.3698,572.4641,407.4445
1603.2064,254.5839,573.3596,408.5927
1607.2144,254.7976,574.2539,409.7407
1611.2224,255.0108,575.1470,410.8883
1615.2305,255.2237,576.0388,412.0356
1619.2385,255.4361,576.9293,413.1826
1623.2465,255.6481,577.8186,414.3292
1627.2545,255.8596,578.7067,415.4756
1631.2625,256.0708,579.5935,416.6215
1635.2705,256.2815,580.4790,417.7672
1639.2786,256.4919,581.3634,418.9125
1643.2866,256.7018,582.2465,420.0574
1647.2946,256.9113,583.1284,421.2020
1651.3026,257.1204,584.0091,422.3463
1655.3106,257.3291,584.8886,423.4901
1659.3186,257.5375,585.7669,424.6336
1663.3267,257.7454,586.6439,425.7768
1667.3347,257.9529,587.5198,426.9196
1671.3427,258.1600,588.3945,428.0619
1675.3507,258.3668,589.2680,429.2040
1679.3587,258.5731,590.1403,430.3456
1683.3667,258.7790,591.0114,431.4868
1687.3747,258.9846,591.8814,432.6277
1691.3828,259.1898,592.7502,433.7681
1695.3908,259.3946,593.6178,434.9082
1699.3988,259.5990,594.4843,436.0478
1703.4068,259.8031,595.3496,437.1871
1707.4148,260.0067,596.2138,438.3259
1711.4228,260.2100,597.0768,439.4643
1715.4309,260.4130,597.9387,440.6023
1719.4389,260.6155,598.7994,441.7399
1723.4469,260.8177,599.6590,442.8771
1727.4549,261.0195,600.5174,444.0138
1731.4629,261.2209,601.3748,445.1501
1735.4709,261.4220,602.2310,446.2860
1739.4790,261.6228,603.0861,447.4214
1743.4870,261.8231,603.9401,448.5564
1747.4950,262.0231,604.7929,449.6910
1751.5030,262.2228,605.6447,450.8251
1755.5110,262.4221,606.4953,451.9587
1759.5190,262.6210,607.3449,453.0920
1763.5271,262.8196,608.1934,454.2247
1767.5351,263.0178,609.0407,455.3570
1771.5431,263.2157,609.8870,456.4888
1775.5511,263.4133,610.7322,457.6202
1779.5591,263.6105,611.5763,458.7511
1783.5671,263.8073,612.4194,459.8815
1787.5752,264.0039,613.2613,461.0115
1791.5832,264.2000,614.1022,462.1409
1795.5912,264.3959,614.9420,463.2699
1799.5992,264.5914,615.7808,464.3984
1803.6072,264.7865,616.6185,465.5265
1807.6152,264.9814,617.4552,466.6540
1811.6232,265.1759,618.2908,467.7810
1815.6313,265.3701,619.1253,468.9076
1819.6393,265.5639,619.9589,470.0336
1823.6473,265.7574,620.7913,471.1592
1827.6553,265.9506,621.6228,472.2843
1831.6633,266.1435,622.4532,473.4088
1835.6713,266.3360,623.2825,474.5329
1839.6794,266.5283,624.1109,475.6564
1843.6874,266.7202,624.9382,476.7794
1847.6954,266.9118,625.7645,477.9019
1851.7034,267.1030,626.5898,479.0239
1855.7114,267.2940,627.4141,480.1454
1859.7194,267.4846,628.2373,481.2663
1863.7275,267.6750,629.0596,482.3867
1867.7355,267.8650,629.8809,483.5066
1871.7435,268.0547,630.7011,484.6260
1875.7515,268.2441,631.5204,485.7448
1879.7595,268.4332,632.3386,486.8631
1883.7675,268.6220,633.1559,487.9809
1887.7756,268.8105,633.9722,489.0981
1891.7836,268.9986,634.7875,490.2148
1895.7916,269.1865,635.6018,491.3309
1899.7996,269.3741,636.4152,492.4465
1903.8076,269.5614,637.2275,493.5615
1907.8156,269.7484,638.0389,494.6760
1911.8236,269.9351,638.8494,495.7899
1915.8317,270.1215,639.6588,496.9033
1919.8397,270.3076,640.4673,498.0161
1923.8477,270.4934,641.2749,499.1284
1927.8557,270.6789,642.0815,500.2401
1931.8637,270.8641,642.8871,501.3512
1935.8717,271.0491,643.6918,502.4618
1939.8798,271.2337,644.4955,503.5718
1943.8878,271.4181,645.2983,504.6813
1947.8958,271.6022,646.1002,505.7901
1951.9038,271.7860,646.9011,506.8984
1955.9118,271.9695,647.7011,508.0061
1959.9198,272.1528,648.5001,509.1132
1963.9279,272.3357,649.2982,510.2198
1967.9359,272.5184,650.0954,511.3258
1971.9439,272.7008,650.8917,512.4312
1975.9519,272.8830,651.6870,513.5360
1979.9599,273.0648,652.4814,514.6402
1983.9679,273.2464,653.2749,515.7438
1987.9760,273.4277,654.0675,516.8468
1991.9840,273.6088,654.8592,517.9493
1995.9920,273.7895,655.6500,519.0511
2000.0000,273.9700,656.4398,520.1524
