time (s),MLR (kg/s),thikness (m),T(z=0),T(z=3),T(z=6),C_A (kg/m^3),C_B (kg/m^3),C_C (kg/m^3)
62.0,0.0231354707,0.018,655.1136530056806,441.35898499999996,332.8828375,1429.99315,0.0030168990616499802,5.087526740254075e-11
62.5,0.023116255869999998,0.018,655.8858305037903,442.69575499999996,333.678635,1429.9919,0.003566788156324996,6.857002546803317e-11
63.0,0.02309695471,0.018,656.6508905019799,444.03035,334.4810975,1429.99045,0.00421069111249997,9.217691216409398e-11
63.5,0.023077599049999998,0.018,657.40900350048,445.3625775,335.2902225,1429.988725,0.004963613516499987,1.235908040770097e-10
64.0,0.02305820072,0.018,658.1605934971259,446.6924375,336.10591250000004,1429.98675,0.005842776871824967,1.6528817846534723e-10
64.5,0.02303880154,0.018,658.9056634938833,448.02012499999995,336.92816,1429.984425,0.006867932752749939,2.2049776353621383e-10
65.0,0.02301941334,0.018,659.6445159907383,449.34554249999997,337.756675,1429.9817,0.008061684776749956,2.9341866383100246e-10
65.5,0.02300005797,0.018,660.377453487677,450.66869,338.591555,1429.97855,0.009449885915249923,3.894994857641619e-10
66.0,0.022980777270000002,0.018,661.1046109846902,451.9895725,339.432695,1429.9749,0.011062048767499888,5.157925883709188e-10
66.5,0.02296157306,0.018,661.8260909817639,453.3081825,340.2799,1429.97065,0.012931828790750055,6.814049843456744e-10
67.0,0.02294247721,0.018,662.5421834788916,454.624625,341.1332675,1429.96575,0.015097555651499839,8.980711914773021e-10
67.5,0.02292351153,0.018,663.2528684760614,455.93879749999996,341.9925025,1429.960075,0.017602815229999957,1.180873484631044e-09
68.0,0.02290469788,0.018,663.9583909732698,457.2507025,342.8577,1429.9535,0.02049710994374987,1.5491563984756448e-09
68.5,0.022886048069999998,0.018,664.6588409705108,458.56034,343.7287625,1429.945925,0.02383658746799988,2.027672231227287e-09
69.0,0.022867583900000002,0.018,665.354253467775,459.8678075,344.60549,1429.937225,0.027684843087249833,2.6480227997777984e-09
69.5,0.0228493373,0.018,666.0448059650641,461.173005,345.48798,1429.927175,0.032113823226499694,3.4504689467054034e-09
70.0,0.022831309900000003,0.018,666.730433943553,462.4759325,346.3760375,1429.91565,0.037204750513249785,4.486175549821875e-09
70.5,0.0228135336,0.018,667.4113364395331,463.7765925,347.26956,1429.9024,0.04304932297749975,5.820045285164375e-09
71.0,0.0227960102,0.018,668.0875139355364,465.07507749999996,348.1685475,1429.887225,0.049750730269999766,7.534198394620683e-09
71.5,0.0227787715,0.018,668.758933931556,466.3712925,349.0729,1429.86985,0.057425144447499576,9.73233520975619e-09
72.0,0.022761829100000002,0.018,669.4256964275919,467.66513999999995,349.98252,1429.84995,0.06620288879999947,1.2545103684068692e-08
72.5,0.0227452049,0.018,670.087901423644,468.95680999999996,350.897405,1429.8262750000001,0.07623025903749969,1.6136754436302927e-08
73.0,0.022728900599999997,0.018,670.7454164197055,470.246205,351.81745750000005,1429.800375,0.08767089854249965,2.0713313308849156e-08
73.5,0.0227129378,0.018,671.3983739157833,471.5333275,352.7425725,1429.770875,0.10070777742499981,2.6532656445869633e-08
74.0,0.0226973382,0.018,672.0468193824968,472.8180725,353.67265749999996,1429.7373,0.11554505086749955,3.3916802898053945e-08
74.5,0.0226821136,0.018,672.690751877298,474.1005375,354.60771,1429.69915,0.13241012312499922,4.326703226228473e-08
75.0,0.0226672755,0.018,673.3301943721118,475.38072,355.5476275,1429.655825,0.15155574227749913,5.5082247367837384e-08
75.5,0.0226528355,0.018,673.9650468669379,476.65852249999995,356.49240999999995,1429.605775,0.17326235229499876,6.9981227023802e-08
76.0,0.0226388052,0.018,674.5955778747053,477.9341160895,357.4418783944,1429.5501820880002,0.19784840844291907,8.87333005262804e-08
76.5,0.022625216299999997,0.018,675.2216053322348,479.20724359059994,358.39599599909997,1429.4873545750002,0.2256422263936635,1.12277793115642e-07
77.0,0.0226120601,0.018,675.843142789867,480.4779785879999,359.35468360259995,1429.415451739,0.2570288006194179,1.4178198478636923e-07
77.5,0.0225993582,0.018,676.4603132091725,481.74631608149997,360.31783870479995,1429.33547354,0.2924239154848447,1.7867669501805656e-07
78.0,0.022587121999999998,0.018,677.073170665733,483.0122560711,361.2855613057,1429.24446994,0.33228295488681425,2.247154102644847e-07
78.5,0.022575372899999998,0.018,677.6815831223461,484.2757910565,362.2575514053,1429.143265892,0.37710432182377573,2.820418129602326e-07
79.0,0.0225641124,0.018,678.2856830790911,485.53681853759997,363.23400900359997,1429.0286863489998,0.42743044573813194,3.53268861395495e-07
79.5,0.022553341799999998,0.018,678.8854930359416,486.79543101409996,364.2146341006,1428.900406258,0.4838506915510763,4.4157449577672715e-07
80.0,0.0225431023,0.018,679.4809579928449,488.0515234858,365.19943169649997,1428.756975561,0.5470027852123955,5.508109205201999e-07
80.5,0.0225333753,0.018,680.0721559038035,489.30518595229995,366.188394291,1428.596869197,0.6175730184502832,6.856353882750696e-07
81.0,0.022524192,0.018,680.6591408596576,490.5562184136,367.1814268843,1428.417462101,0.6962977240460972,8.516604608717527e-07
81.5,0.0225155434,0.018,681.2418033155388,491.8048058691,368.1784294764,1428.218004203,0.7839630439390781,1.055629522737896e-06
82.0,0.0225074608,0.018,681.8202757715287,493.0506483188,369.1793995672,1427.996595427,0.8814019735460548,1.305617297196156e-06
82.5,0.022499945299999997,0.018,682.3945257275458,494.294028262,370.1842396568,1427.7513356969998,0.9894934490611149,1.6112588663364565e-06
83.0,0.0224929978,0.018,682.9645861313638,495.5346431986,371.19284724510004,1427.479199932,1.109157479445166,1.984010945209691e-06
83.5,0.0224866494,0.018,683.530501086293,496.7726806280999,372.2052273323,1427.1790130450001,1.2413503330155606,2.4374446613526917e-06
84.0,0.022480891,0.018,684.092271041278,498.0080305501,373.2212749182,1426.847674952,1.3870552735805006,2.98757084047308e-06
84.5,0.0224757334,0.018,684.6498734963467,499.2405854643,374.2409925029,1426.482985565,1.5472753707535531,3.653202550267195e-06
85.0,0.0224711976,0.018,685.2033534514433,500.47043037009996,375.2642800864,1426.083694794,1.7230198558330017,4.456350403455884e-06
85.5,0.0224672842,0.018,685.752766348079,501.6974577672,376.2910376687,1425.6466525530002,1.9152906122310327,5.422643872448132e-06
86.0,0.0224640041,0.018,686.2981338020729,502.9216576552,377.32116774990004,1425.16980876,2.125065411873038,6.581785368165653e-06
86.5,0.0224613678,0.018,686.8394562561242,504.1430175336,378.3547653298,1424.651113333,2.3532791296566415,7.968035336867617e-06
87.0,0.022459376,0.018,687.3766562102043,505.361527402,379.3916354086,1424.088791201,2.6008014285206826,9.62069237742569e-06
87.5,0.0224580392,0.018,687.9099116008355,506.5770797601,380.43167798630003,1423.4812423,2.868413668724031,1.158458838580685e-05
88.0,0.022457378,0.018,688.4391440537639,507.7897596073,381.4749880627,1422.825166578,3.1567841645543666,1.3910583731780368e-05
88.5,0.0224573827,0.018,688.9644090067809,508.99936694359997,382.521470638,1422.121588996,3.4664403176566623,1.6656034976916746e-05
89.0,0.0224580838,0.018,689.4856739597976,510.20598676839995,383.5710232121,1421.3689595320002,3.7977410136115566,1.9885207641662955e-05
89.5,0.0224594615,0.018,690.0030168443948,511.4095165816,384.6235482851,1420.566228184,4.150850797833613,2.366965903546935e-05
90.0,0.0224615461,0.018,690.5164917962974,512.6100488829,385.6790433569,1419.713869971,4.525716931819204,2.8088513664419274e-05
90.5,0.022464337900000002,0.018,691.0259892481697,513.8074786720999,386.7374109276,1418.8129624361002,4.9220365074944255,3.3228726238101504e-05
91.0,0.0224678369,0.018,691.5316421279565,515.0017868988,387.7986694942,1417.8647187938,5.339458784124815,3.918655456806733e-05
91.5,0.022472063299999998,0.018,692.0334619645469,516.1929114288,388.8626821312,1416.8705169037999,5.776737967301017,4.6061686191409485e-05
92.0,0.022477007,0.018,692.5313693796029,517.3808334346,389.9293647658,1415.8340169502,6.232940265214637,5.396558175578287e-05
92.5,0.022482698,0.018,693.0254547188771,518.5655554164,390.99881739799997,1414.7571117444,6.706649454398615,6.30155043899283e-05
93.0,0.0224891262,0.018,693.5158171328118,519.7470798744,392.0707450282,1413.6443691518,7.196167178413418,7.333535021132207e-05
93.5,0.0224963114,0.018,694.0022795467464,520.925311809,393.14534265599997,1412.5010520934,7.699531556539398,8.505485012247002e-05
94.0,0.022504243400000002,0.018,694.4850969607897,522.100261221,394.2223152818,1411.3301260464,8.214542352866374,9.830874704493033e-05
94.5,0.022512942,0.018,694.9641147940873,523.2719331108,395.3017604054,1410.1390415268,8.738792865984635,0.00011323562367523184
95.0,0.022522406699999997,0.018,695.4394097069588,524.440334979,396.3835780268,1408.9318115956,9.269731075872073,0.00012997673089891384
95.5,0.0225326572,0.018,695.9110050366327,525.605284327,397.4677656458,1407.7157418371999,9.804697898982624,0.00014867459201142394
96.0,0.0225436829,0.018,696.3788774483339,526.7669861552,398.5541282628,1406.496412858,10.341006714032005,0.00016947168293364977
96.5,0.022555503499999997,0.018,696.8431498600353,527.9252554648,399.6427633776,1405.2804602688,10.876010289283272,0.000192508938616609
97.0,0.0225681182,0.018,697.3037776849764,529.0801047568,400.7335709902,1404.073464676,11.40717975812828,0.00021792428597011172
97.5,0.0225815365,0.018,697.7607500954523,530.2316465322,401.82635360079996,1402.8797866684001,11.93218021697146,0.00024585122851335586
98.0,0.022595767699999998,0.018,698.2141775060417,531.3796007926001,402.92120870919996,1401.7053267979998,12.44896616450825,0.0002764176332694136
98.5,0.0226108109,0.018,698.6639828261435,532.5242700382,404.0181338152,1400.5534655752,12.955851646504243,0.0003097448953416869
