s,C,C,C,kg/m2/s,m,kW/m2,kW/m2
Time,"Tz0","Tz3","Tz6","MLR","thick","radiative hf","incident hf"
 3.9500000E+001, 3.6174644E+002, 1.0606413E+002, 3.2444968E+001, 2.3603555E-002, 1.8000000E-002, 4.1235151E+001, 5.0448075E+001
 4.0000000E+001, 3.6270121E+002, 1.0756365E+002, 3.2837559E+001, 2.3644435E-002, 1.8000000E-002, 4.1179605E+001, 5.0448075E+001
 4.0500000E+001, 3.6365155E+002, 1.0905893E+002, 3.3241174E+001, 2.3681043E-002, 1.8000000E-002, 4.1124065E+001, 5.0448075E+001
 4.1000000E+001, 3.6459671E+002, 1.1054958E+002, 3.3655976E+001, 2.3713638E-002, 1.8000000E-002, 4.1068584E+001, 5.0448075E+001
 4.1500000E+001, 3.6553681E+002, 1.1203610E+002, 3.4081818E+001, 2.3743466E-002, 1.8000000E-002, 4.1013150E+001, 5.0448075E+001
 4.2000000E+001, 3.6647188E+002, 1.1351820E+002, 3.4518398E+001, 2.3768921E-002, 1.8000000E-002, 4.0957774E+001, 5.0448075E+001
 4.2500000E+001, 3.6740122E+002, 1.1499618E+002, 3.4966006E+001, 2.3792779E-002, 1.8000000E-002, 4.0902492E+001, 5.0448075E+001
 4.3000000E+001, 3.6832628E+002, 1.1647006E+002, 3.5424333E+001, 2.3811898E-002, 1.8000000E-002, 4.0847231E+001, 5.0448075E+001
 4.3510000E+001, 3.6925428E+002, 1.1795431E+002, 3.5898378E+001, 2.3829840E-002, 1.8000000E-002, 4.0791546E+001, 5.0448075E+001
 4.4010000E+001, 3.7017761E+002, 1.1943481E+002, 3.6382998E+001, 2.3843832E-002, 1.8000000E-002, 4.0735909E+001, 5.0448075E+001
 4.4510000E+001, 3.7108596E+002, 1.2089623E+002, 3.6873558E+001, 2.3856158E-002, 1.8000000E-002, 4.0680933E+001, 5.0448075E+001
 4.5010000E+001, 3.7198946E+002, 1.2235447E+002, 3.7374541E+001, 2.3865614E-002, 1.8000000E-002, 4.0626023E+001, 5.0448075E+001
 4.5510000E+001, 3.7288779E+002, 1.2380800E+002, 3.7886110E+001, 2.3873248E-002, 1.8000000E-002, 4.0571198E+001, 5.0448075E+001
 4.6010000E+001, 3.7378015E+002, 1.2525877E+002, 3.8407737E+001, 2.3878760E-002, 1.8000000E-002, 4.0516509E+001, 5.0448075E+001
 4.6510000E+001, 3.7466787E+002, 1.2670499E+002, 3.8939660E+001, 2.3882119E-002, 1.8000000E-002, 4.0461882E+001, 5.0448075E+001
 4.7010000E+001, 3.7554875E+002, 1.2814816E+002, 3.9481653E+001, 2.3883733E-002, 1.8000000E-002, 4.0407451E+001, 5.0448075E+001
 4.7510000E+001, 3.7642600E+002, 1.2958778E+002, 4.0033812E+001, 2.3883637E-002, 1.8000000E-002, 4.0353023E+001, 5.0448075E+001
 4.8010000E+001, 3.7729689E+002, 1.3102356E+002, 4.0595643E+001, 2.3881752E-002, 1.8000000E-002, 4.0298772E+001, 5.0448075E+001
 4.8510000E+001, 3.7816292E+002, 1.3245668E+002, 4.1167357E+001, 2.3878636E-002, 1.8000000E-002, 4.0244610E+001, 5.0448075E+001
 4.9010000E+001, 3.7902295E+002, 1.3388543E+002, 4.1748882E+001, 2.3873525E-002, 1.8000000E-002, 4.0190606E+001, 5.0448075E+001
 4.9510000E+001, 3.7987751E+002, 1.3531182E+002, 4.2339871E+001, 2.3867969E-002, 1.8000000E-002, 4.0136732E+001, 5.0448075E+001
 5.0010000E+001, 3.8072742E+002, 1.3673451E+002, 4.2940379E+001, 2.3860099E-002, 1.8000000E-002, 4.0082942E+001, 5.0448075E+001
 5.0510000E+001, 3.8157156E+002, 1.3815398E+002, 4.3550301E+001, 2.3852016E-002, 1.8000000E-002, 4.0029309E+001, 5.0448075E+001
 5.1010000E+001, 3.8241052E+002, 1.3957060E+002, 4.4169565E+001, 2.3841749E-002, 1.8000000E-002, 3.9975802E+001, 5.0448075E+001
 5.1510000E+001, 3.8324368E+002, 1.4098386E+002, 4.4797884E+001, 2.3831349E-002, 1.8000000E-002, 3.9922458E+001, 5.0448075E+001
 5.2010000E+001, 3.8407144E+002, 1.4239431E+002, 4.5435329E+001, 2.3819332E-002, 1.8000000E-002, 3.9869261E+001, 5.0448075E+001
 5.2510000E+001, 3.8489413E+002, 1.4380142E+002, 4.6081857E+001, 2.3806694E-002, 1.8000000E-002, 3.9816187E+001, 5.0448075E+001
 5.3010000E+001, 3.8571138E+002, 1.4520604E+002, 4.6737084E+001, 2.3792999E-002, 1.8000000E-002, 3.9763267E+001, 5.0448075E+001
 5.3510000E+001, 3.8652383E+002, 1.4660744E+002, 4.7401128E+001, 2.3778591E-002, 1.8000000E-002, 3.9710464E+001, 5.0448075E+001
 5.4010000E+001, 3.8733012E+002, 1.4800598E+002, 4.8073943E+001, 2.3763563E-002, 1.8000000E-002, 3.9657867E+001, 5.0448075E+001
 5.4510000E+001, 3.8813137E+002, 1.4940202E+002, 4.8755149E+001, 2.3747595E-002, 1.8000000E-002, 3.9605410E+001, 5.0448075E+001
 5.5010000E+001, 3.8892722E+002, 1.5079489E+002, 4.9444875E+001, 2.3731282E-002, 1.8000000E-002, 3.9553113E+001, 5.0448075E+001
 5.5510000E+001, 3.8971821E+002, 1.5218514E+002, 5.0143034E+001, 2.3713881E-002, 1.8000000E-002, 3.9500952E+001, 5.0448075E+001
 5.6010000E+001, 3.9050374E+002, 1.5357281E+002, 5.0849318E+001, 2.3696427E-002, 1.8000000E-002, 3.9448961E+001, 5.0448075E+001
 5.6510000E+001, 3.9128396E+002, 1.5495760E+002, 5.1563840E+001, 2.3678086E-002, 1.8000000E-002, 3.9397145E+001, 5.0448075E+001
 5.7010000E+001, 3.9205859E+002, 1.5633983E+002, 5.2286407E+001, 2.3659530E-002, 1.8000000E-002, 3.9345516E+001, 5.0448075E+001
 5.7510000E+001, 3.9282874E+002, 1.5771935E+002, 5.3016869E+001, 2.3640429E-002, 1.8000000E-002, 3.9294005E+001, 5.0448075E+001
 5.8010000E+001, 3.9359361E+002, 1.5909651E+002, 5.3755302E+001, 2.3620866E-002, 1.8000000E-002, 3.9242671E+001, 5.0448075E+001
 5.8510000E+001, 3.9435305E+002, 1.6047096E+002, 5.4501382E+001, 2.3601319E-002, 1.8000000E-002, 3.9191528E+001, 5.0448075E+001
 5.9010000E+001, 3.9510723E+002, 1.6184266E+002, 5.5255134E+001, 2.3580982E-002, 1.8000000E-002, 3.9140565E+001, 5.0448075E+001
 5.9510000E+001, 3.9585578E+002, 1.6321224E+002, 5.6016596E+001, 2.3560654E-002, 1.8000000E-002, 3.9089809E+001, 5.0448075E+001
 6.0010000E+001, 3.9660077E+002, 1.6457905E+002, 5.6785342E+001, 2.3539950E-002, 1.8000000E-002, 3.9039128E+001, 5.0448075E+001
 6.0510000E+001, 3.9733991E+002, 1.6594312E+002, 5.7561582E+001, 2.3519217E-002, 1.8000000E-002, 3.8988677E+001, 5.0448075E+001
 6.1010000E+001, 3.9807333E+002, 1.6730518E+002, 5.8345099E+001, 2.3497984E-002, 1.8000000E-002, 3.8938454E+001, 5.0448075E+001
 6.1510000E+001, 3.9880230E+002, 1.6866472E+002, 5.9135736E+001, 2.3477112E-002, 1.8000000E-002, 3.8888366E+001, 5.0448075E+001
 6.2010000E+001, 3.9952653E+002, 1.7002150E+002, 5.9933638E+001, 2.3455788E-002, 1.8000000E-002, 3.8838445E+001, 5.0448075E+001
 6.2510000E+001, 4.0024541E+002, 1.7137609E+002, 6.0738378E+001, 2.3434348E-002, 1.8000000E-002, 3.8788737E+001, 5.0448075E+001
 6.3010000E+001, 4.0095863E+002, 1.7272832E+002, 6.1550134E+001, 2.3413139E-002, 1.8000000E-002, 3.8739256E+001, 5.0448075E+001
 6.3510000E+001, 4.0166776E+002, 1.7407794E+002, 6.2368726E+001, 2.3391428E-002, 1.8000000E-002, 3.8689905E+001, 5.0448075E+001
 6.4010000E+001, 4.0237243E+002, 1.7542530E+002, 6.3194015E+001, 2.3370228E-002, 1.8000000E-002, 3.8640713E+001, 5.0448075E+001
 6.4510000E+001, 4.0307133E+002, 1.7677038E+002, 6.4026093E+001, 2.3348498E-002, 1.8000000E-002, 3.8591771E+001, 5.0448075E+001
 6.5010000E+001, 4.0376442E+002, 1.7811285E+002, 6.4864582E+001, 2.3327499E-002, 1.8000000E-002, 3.8543079E+001, 5.0448075E+001
 6.5510000E+001, 4.0445484E+002, 1.7945318E+002, 6.5709708E+001, 2.3306064E-002, 1.8000000E-002, 3.8494433E+001, 5.0448075E+001
 6.6010000E+001, 4.0513926E+002, 1.8079101E+002, 6.6561155E+001, 2.3284982E-002, 1.8000000E-002, 3.8446061E+001, 5.0448075E+001
 6.6510000E+001, 4.0581748E+002, 1.8212632E+002, 6.7418942E+001, 2.3263921E-002, 1.8000000E-002, 3.8397982E+001, 5.0448075E+001
 6.7010000E+001, 4.0649371E+002, 1.8345951E+002, 6.8283016E+001, 2.3242870E-002, 1.8000000E-002, 3.8349899E+001, 5.0448075E+001
 6.7510000E+001, 4.0716386E+002, 1.8479052E+002, 6.9153166E+001, 2.3222456E-002, 1.8000000E-002, 3.8302110E+001, 5.0448075E+001
 6.8010000E+001, 4.0782717E+002, 1.8611867E+002, 7.0029516E+001, 2.3201495E-002, 1.8000000E-002, 3.8254667E+001, 5.0448075E+001
 6.8510000E+001, 4.0848916E+002, 1.8744485E+002, 7.0911728E+001, 2.3181379E-002, 1.8000000E-002, 3.8207179E+001, 5.0448075E+001
 6.9010000E+001, 4.0914532E+002, 1.8876872E+002, 7.1799987E+001, 2.3160894E-002, 1.8000000E-002, 3.8159976E+001, 5.0448075E+001
 6.9510000E+001, 4.0979393E+002, 1.9008974E+002, 7.2693977E+001, 2.3141360E-002, 1.8000000E-002, 3.8113178E+001, 5.0448075E+001
 7.0010000E+001, 4.1044217E+002, 1.9140905E+002, 7.3593826E+001, 2.3121500E-002, 1.8000000E-002, 3.8066274E+001, 5.0448075E+001
 7.0510000E+001, 4.1108412E+002, 1.9272574E+002, 7.4499293E+001, 2.3102317E-002, 1.8000000E-002, 3.8019701E+001, 5.0448075E+001
 7.1010000E+001, 4.1171821E+002, 1.9403973E+002, 7.5410374E+001, 2.3083372E-002, 1.8000000E-002, 3.7973555E+001, 5.0448075E+001
 7.1510000E+001, 4.1235315E+002, 1.9535193E+002, 7.6327030E+001, 2.3064520E-002, 1.8000000E-002, 3.7927227E+001, 5.0448075E+001
 7.2010000E+001, 4.1298008E+002, 1.9666144E+002, 7.7249083E+001, 2.3046360E-002, 1.8000000E-002, 3.7881365E+001, 5.0448075E+001
 7.2500000E+001, 4.1359515E+002, 1.9795548E+002, 7.8167281E+001, 2.3028052E-002, 1.8000000E-002, 3.7836228E+001, 5.0448075E+001
 7.3000000E+001, 4.1421063E+002, 1.9924745E+002, 7.9090610E+001, 2.3011031E-002, 1.8000000E-002, 3.7790955E+001, 5.0448075E+001
 7.3500000E+001, 4.1482142E+002, 2.0054977E+002, 8.0028575E+001, 2.2993121E-002, 1.8000000E-002, 3.7745911E+001, 5.0448075E+001
 7.4000000E+001, 4.1543188E+002, 2.0184982E+002, 8.0971570E+001, 2.2976720E-002, 1.8000000E-002, 3.7700751E+001, 5.0448075E+001
 7.4500000E+001, 4.1603950E+002, 2.0314764E+002, 8.1919808E+001, 2.2960147E-002, 1.8000000E-002, 3.7655701E+001, 5.0448075E+001
 7.5000000E+001, 4.1663399E+002, 2.0444268E+002, 8.2872916E+001, 2.2944081E-002, 1.8000000E-002, 3.7611502E+001, 5.0448075E+001
 7.5500000E+001, 4.1723442E+002, 2.0573532E+002, 8.3831097E+001, 2.2928682E-002, 1.8000000E-002, 3.7566737E+001, 5.0448075E+001
 7.6000000E+001, 4.1782541E+002, 2.0702605E+002, 8.4794033E+001, 2.2913481E-002, 1.8000000E-002, 3.7522586E+001, 5.0448075E+001
 7.6500000E+001, 4.1840854E+002, 2.0831363E+002, 8.5761876E+001, 2.2898610E-002, 1.8000000E-002, 3.7478877E+001, 5.0448075E+001
 7.7000000E+001, 4.1899686E+002, 2.0959896E+002, 8.6734356E+001, 2.2884178E-002, 1.8000000E-002, 3.7434689E+001, 5.0448075E+001
 7.7500000E+001, 4.1956995E+002, 2.1088238E+002, 8.7711606E+001, 2.2871189E-002, 1.8000000E-002, 3.7391543E+001, 5.0448075E+001
 7.8000000E+001, 4.2014467E+002, 2.1216233E+002, 8.8693365E+001, 2.2856684E-002, 1.8000000E-002, 3.7348139E+001, 5.0448075E+001
 7.8500000E+001, 4.2071647E+002, 2.1344051E+002, 8.9679724E+001, 2.2844789E-002, 1.8000000E-002, 3.7304877E+001, 5.0448075E+001
 7.9000000E+001, 4.2127728E+002, 2.1471603E+002, 9.0670473E+001, 2.2833242E-002, 1.8000000E-002, 3.7262328E+001, 5.0448075E+001
 7.9500000E+001, 4.2184033E+002, 2.1598863E+002, 9.1665669E+001, 2.2821207E-002, 1.8000000E-002, 3.7219503E+001, 5.0448075E+001
 8.0000000E+001, 4.2239561E+002, 2.1725917E+002, 9.2665134E+001, 2.2809582E-002, 1.8000000E-002, 3.7177177E+001, 5.0448075E+001
